#   pt       r            w            wL          Qw            A            b           IP
   125   0.2480E+01   0.6951E-02   0.7035E-02   0.2830E+00   0.5365E+01   0.2681E+01   0.8984E+00
   126   0.2500E+01   0.6588E-02   0.6655E-02   0.2725E+00   0.5281E+01   0.2675E+01   0.8942E+00
   127   0.2520E+01   0.6245E-02   0.6296E-02   0.2623E+00   0.5198E+01   0.2668E+01   0.8900E+00
   128   0.2540E+01   0.5921E-02   0.5957E-02   0.2525E+00   0.5116E+01   0.2662E+01   0.8858E+00
   129   0.2560E+01   0.5614E-02   0.5635E-02   0.2431E+00   0.5036E+01   0.2656E+01   0.8817E+00
   130   0.2580E+01   0.5324E-02   0.5331E-02   0.2340E+00   0.4957E+01   0.2650E+01   0.8776E+00
   131   0.2600E+01   0.5050E-02   0.5044E-02   0.2253E+00   0.4881E+01   0.2644E+01   0.8737E+00
   132   0.2620E+01   0.4790E-02   0.4772E-02   0.2169E+00   0.4806E+01   0.2638E+01   0.8697E+00
   133   0.2640E+01   0.4544E-02   0.4514E-02   0.2088E+00   0.4733E+01   0.2632E+01   0.8659E+00
   134   0.2660E+01   0.4311E-02   0.4271E-02   0.2010E+00   0.4662E+01   0.2626E+01   0.8622E+00
   135   0.2680E+01   0.4091E-02   0.4041E-02   0.1934E+00   0.4593E+01   0.2621E+01   0.8585E+00
   136   0.2700E+01   0.3882E-02   0.3823E-02   0.1862E+00   0.4526E+01   0.2615E+01   0.8550E+00
   137   0.2720E+01   0.3685E-02   0.3616E-02   0.1792E+00   0.4462E+01   0.2610E+01   0.8515E+00
   138   0.2740E+01   0.3497E-02   0.3421E-02   0.1725E+00   0.4400E+01   0.2605E+01   0.8482E+00
   139   0.2760E+01   0.3320E-02   0.3237E-02   0.1660E+00   0.4340E+01   0.2600E+01   0.8449E+00
   140   0.2780E+01   0.3152E-02   0.3062E-02   0.1598E+00   0.4283E+01   0.2595E+01   0.8418E+00
   141   0.2800E+01   0.2993E-02   0.2897E-02   0.1538E+00   0.4227E+01   0.2590E+01   0.8388E+00
   142   0.2820E+01   0.2842E-02   0.2741E-02   0.1480E+00   0.4174E+01   0.2586E+01   0.8359E+00
   143   0.2840E+01   0.2699E-02   0.2593E-02   0.1424E+00   0.4123E+01   0.2582E+01   0.8331E+00
   144   0.2860E+01   0.2563E-02   0.2453E-02   0.1370E+00   0.4075E+01   0.2577E+01   0.8304E+00
   145   0.2880E+01   0.2434E-02   0.2321E-02   0.1319E+00   0.4028E+01   0.2573E+01   0.8278E+00
   146   0.2900E+01   0.2312E-02   0.2196E-02   0.1269E+00   0.3983E+01   0.2569E+01   0.8253E+00
   147   0.2920E+01   0.2197E-02   0.2077E-02   0.1221E+00   0.3940E+01   0.2566E+01   0.8229E+00
   148   0.2940E+01   0.2087E-02   0.1965E-02   0.1175E+00   0.3898E+01   0.2562E+01   0.8206E+00
   149   0.2960E+01   0.1983E-02   0.1859E-02   0.1130E+00   0.3859E+01   0.2559E+01   0.8184E+00
   150   0.2980E+01   0.1884E-02   0.1759E-02   0.1087E+00   0.3821E+01   0.2555E+01   0.8162E+00
   151   0.3000E+01   0.1790E-02   0.1664E-02   0.1046E+00   0.3785E+01   0.2552E+01   0.8142E+00
   152   0.3020E+01   0.1701E-02   0.1574E-02   0.1006E+00   0.3749E+01   0.2549E+01   0.8122E+00
   153   0.3040E+01   0.1616E-02   0.1489E-02   0.9680E-01   0.3716E+01   0.2546E+01   0.8103E+00
   154   0.3060E+01   0.1536E-02   0.1409E-02   0.9311E-01   0.3683E+01   0.2543E+01   0.8085E+00
