#   pt       r            w            wL          Qw            A            b           IP
    93   0.1840E+01   0.2797E-01   0.2892E-01   0.7585E+00   0.2633E+01   0.2470E+01   0.7627E+00
    94   0.1860E+01   0.2662E-01   0.2752E-01   0.7350E+00   0.2656E+01   0.2475E+01   0.7656E+00
    95   0.1880E+01   0.2533E-01   0.2619E-01   0.7122E+00   0.2676E+01   0.2479E+01   0.7681E+00
    96   0.1900E+01   0.2410E-01   0.2493E-01   0.6900E+00   0.2694E+01   0.2482E+01   0.7702E+00
    97   0.1920E+01   0.2294E-01   0.2373E-01   0.6685E+00   0.2708E+01   0.2485E+01   0.7719E+00
    98   0.1940E+01   0.2182E-01   0.2258E-01   0.6475E+00   0.2720E+01   0.2487E+01   0.7733E+00
    99   0.1960E+01   0.2076E-01   0.2149E-01   0.6272E+00   0.2729E+01   0.2489E+01   0.7744E+00
   100   0.1980E+01   0.1976E-01   0.2045E-01   0.6074E+00   0.2735E+01   0.2490E+01   0.7750E+00
   101   0.2000E+01   0.1880E-01   0.1947E-01   0.5882E+00   0.2738E+01   0.2491E+01   0.7754E+00
   102   0.2020E+01   0.1788E-01   0.1853E-01   0.5696E+00   0.2738E+01   0.2491E+01   0.7754E+00
   103   0.2040E+01   0.1701E-01   0.1763E-01   0.5516E+00   0.2736E+01   0.2490E+01   0.7752E+00
   104   0.2060E+01   0.1619E-01   0.1678E-01   0.5340E+00   0.2731E+01   0.2489E+01   0.7746E+00
   105   0.2080E+01   0.1540E-01   0.1597E-01   0.5170E+00   0.2723E+01   0.2488E+01   0.7738E+00
   106   0.2100E+01   0.1465E-01   0.1520E-01   0.5005E+00   0.2713E+01   0.2486E+01   0.7727E+00
   107   0.2120E+01   0.1394E-01   0.1447E-01   0.4845E+00   0.2701E+01   0.2484E+01   0.7713E+00
   108   0.2140E+01   0.1327E-01   0.1377E-01   0.4690E+00   0.2686E+01   0.2482E+01   0.7698E+00
   109   0.2160E+01   0.1263E-01   0.1310E-01   0.4540E+00   0.2669E+01   0.2479E+01   0.7680E+00
   110   0.2180E+01   0.1202E-01   0.1247E-01   0.4394E+00   0.2651E+01   0.2475E+01   0.7660E+00
   111   0.2200E+01   0.1144E-01   0.1187E-01   0.4253E+00   0.2631E+01   0.2472E+01   0.7638E+00
   112   0.2220E+01   0.1088E-01   0.1130E-01   0.4116E+00   0.2609E+01   0.2468E+01   0.7615E+00
   113   0.2240E+01   0.1036E-01   0.1075E-01   0.3983E+00   0.2586E+01   0.2464E+01   0.7590E+00
   114   0.2260E+01   0.9862E-02   0.1023E-01   0.3855E+00   0.2561E+01   0.2460E+01   0.7564E+00
   115   0.2280E+01   0.9389E-02   0.9737E-02   0.3730E+00   0.2536E+01   0.2456E+01   0.7537E+00
   116   0.2300E+01   0.8940E-02   0.9267E-02   0.3609E+00   0.2509E+01   0.2451E+01   0.7509E+00
   117   0.2320E+01   0.8512E-02   0.8820E-02   0.3492E+00   0.2482E+01   0.2446E+01   0.7481E+00
   118   0.2340E+01   0.8106E-02   0.8394E-02   0.3379E+00   0.2455E+01   0.2441E+01   0.7451E+00
   119   0.2360E+01   0.7720E-02   0.7989E-02   0.3269E+00   0.2426E+01   0.2437E+01   0.7421E+00
   120   0.2380E+01   0.7354E-02   0.7603E-02   0.3163E+00   0.2398E+01   0.2432E+01   0.7391E+00
   121   0.2400E+01   0.7005E-02   0.7236E-02   0.3060E+00   0.2369E+01   0.2427E+01   0.7360E+00
   122   0.2420E+01   0.6673E-02   0.6887E-02   0.2960E+00   0.2340E+01   0.2421E+01   0.7329E+00
   123   0.2440E+01   0.6358E-02   0.6555E-02   0.2863E+00   0.2311E+01   0.2416E+01   0.7298E+00
   124   0.2460E+01   0.6059E-02   0.6238E-02   0.2770E+00   0.2283E+01   0.2411E+01   0.7268E+00
   125   0.2480E+01   0.5774E-02   0.5937E-02   0.2679E+00   0.2255E+01   0.2406E+01   0.7237E+00
   126   0.2500E+01   0.5503E-02   0.5650E-02   0.2591E+00   0.2227E+01   0.2401E+01   0.7207E+00
   127   0.2520E+01   0.5245E-02   0.5378E-02   0.2506E+00   0.2199E+01   0.2396E+01   0.7178E+00
   128   0.2540E+01   0.5000E-02   0.5118E-02   0.2424E+00   0.2172E+01   0.2391E+01   0.7148E+00
   129   0.2560E+01   0.4766E-02   0.4871E-02   0.2344E+00   0.2146E+01   0.2387E+01   0.7119E+00
   130   0.2580E+01   0.4544E-02   0.4636E-02   0.2267E+00   0.2120E+01   0.2382E+01   0.7091E+00
   131   0.2600E+01   0.4333E-02   0.4412E-02   0.2192E+00   0.2094E+01   0.2377E+01   0.7064E+00
