#   pt       r            w            d(ln(w))/dr
   159   0.4740E+01   0.6348E-05  -0.3995E+01
   160   0.4770E+01   0.5629E-05  -0.4020E+01
   161   0.4800E+01   0.4987E-05  -0.4046E+01
   162   0.4830E+01   0.4416E-05  -0.4071E+01
   163   0.4860E+01   0.3907E-05  -0.4096E+01
   164   0.4890E+01   0.3453E-05  -0.4121E+01
   165   0.4920E+01   0.3051E-05  -0.4147E+01
   166   0.4950E+01   0.2693E-05  -0.4172E+01
   167   0.4980E+01   0.2375E-05  -0.4197E+01
   168   0.5010E+01   0.2093E-05  -0.4222E+01
   169   0.5040E+01   0.1844E-05  -0.4248E+01
   170   0.5070E+01   0.1622E-05  -0.4273E+01
   171   0.5100E+01   0.1427E-05  -0.4298E+01
   172   0.5130E+01   0.1254E-05  -0.4323E+01
   173   0.5160E+01   0.1101E-05  -0.4349E+01
   174   0.5190E+01   0.9657E-06  -0.4374E+01
   175   0.5220E+01   0.8466E-06  -0.4399E+01
   176   0.5250E+01   0.7417E-06  -0.4424E+01
   177   0.5280E+01   0.6492E-06  -0.4450E+01
   178   0.5310E+01   0.5679E-06  -0.4475E+01
   179   0.5340E+01   0.4964E-06  -0.4500E+01
   180   0.5370E+01   0.4335E-06  -0.4526E+01
   181   0.5400E+01   0.3783E-06  -0.4551E+01
   182   0.5430E+01   0.3299E-06  -0.4576E+01
   183   0.5460E+01   0.2875E-06  -0.4601E+01
   184   0.5490E+01   0.2503E-06  -0.4627E+01
   185   0.5520E+01   0.2178E-06  -0.4652E+01
   186   0.5550E+01   0.1894E-06  -0.4677E+01
   187   0.5580E+01   0.1645E-06  -0.4703E+01
   188   0.5610E+01   0.1428E-06  -0.4728E+01
   189   0.5640E+01   0.1239E-06  -0.4753E+01
   190   0.5670E+01   0.1074E-06  -0.4778E+01
   191   0.5700E+01   0.9300E-07  -0.4804E+01
   192   0.5730E+01   0.8049E-07  -0.4829E+01
   193   0.5760E+01   0.6960E-07  -0.4854E+01
   194   0.5790E+01   0.6015E-07  -0.4880E+01
   195   0.5820E+01   0.5194E-07  -0.4905E+01
   196   0.5850E+01   0.4481E-07  -0.4930E+01
   197   0.5880E+01   0.3864E-07  -0.4955E+01
   198   0.5910E+01   0.3329E-07  -0.4981E+01
   199   0.5940E+01   0.2866E-07  -0.5006E+01
   200   0.5970E+01   0.2465E-07  -0.5031E+01
   201   0.6000E+01   0.2119E-07  -0.5057E+01
   202   0.6030E+01   0.1820E-07  -0.5082E+01
   203   0.6060E+01   0.1562E-07  -0.5107E+01
   204   0.6090E+01   0.1340E-07  -0.5132E+01
   205   0.6120E+01   0.1148E-07  -0.5158E+01
   206   0.6150E+01   0.9831E-08  -0.5183E+01
   207   0.6180E+01   0.8412E-08  -0.5208E+01
   208   0.6210E+01   0.7193E-08  -0.5233E+01
   209   0.6240E+01   0.6145E-08  -0.5259E+01
   210   0.6270E+01   0.5247E-08  -0.5284E+01
   211   0.6300E+01   0.4476E-08  -0.5309E+01
   212   0.6330E+01   0.3815E-08  -0.5335E+01
   213   0.6360E+01   0.3250E-08  -0.5360E+01
   214   0.6390E+01   0.2766E-08  -0.5385E+01
   215   0.6420E+01   0.2352E-08  -0.5410E+01
   216   0.6450E+01   0.1999E-08  -0.5436E+01
   217   0.6480E+01   0.1698E-08  -0.5461E+01
   218   0.6510E+01   0.1441E-08  -0.5486E+01
   219   0.6540E+01   0.1222E-08  -0.5512E+01
   220   0.6570E+01   0.1035E-08  -0.5537E+01
   221   0.6600E+01   0.8763E-09  -0.5562E+01
   222   0.6630E+01   0.7413E-09  -0.5587E+01
   223   0.6660E+01   0.6267E-09  -0.5613E+01
   224   0.6690E+01   0.5294E-09  -0.5638E+01
   225   0.6720E+01   0.4468E-09  -0.5663E+01
   226   0.6750E+01   0.3769E-09  -0.5689E+01
   227   0.6780E+01   0.3176E-09  -0.5714E+01
   228   0.6810E+01   0.2675E-09  -0.5739E+01
   229   0.6840E+01   0.2251E-09  -0.5764E+01
   230   0.6870E+01   0.1893E-09  -0.5790E+01
   231   0.6900E+01   0.1590E-09  -0.5815E+01
   232   0.6930E+01   0.1335E-09  -0.5840E+01
   233   0.6960E+01   0.1120E-09  -0.5866E+01
   234   0.6990E+01   0.9391E-10  -0.5891E+01
   235   0.7020E+01   0.7867E-10  -0.5916E+01
   236   0.7050E+01   0.6585E-10  -0.5941E+01
   237   0.7080E+01   0.5508E-10  -0.5967E+01
   238   0.7110E+01   0.4603E-10  -0.5992E+01
   239   0.7140E+01   0.3845E-10  -0.6017E+01
   240   0.7170E+01   0.3208E-10  -0.6043E+01
   241   0.7200E+01   0.2675E-10  -0.6068E+01
   242   0.7230E+01   0.2229E-10  -0.6093E+01
   243   0.7260E+01   0.1856E-10  -0.6118E+01
   244   0.7290E+01   0.1544E-10  -0.6144E+01
   245   0.7320E+01   0.1284E-10  -0.6169E+01
   246   0.7350E+01   0.1067E-10  -0.6194E+01
   247   0.7380E+01   0.8854E-11  -0.6220E+01
   248   0.7410E+01   0.7344E-11  -0.6245E+01
   249   0.7440E+01   0.6087E-11  -0.6270E+01
   250   0.7470E+01   0.5041E-11  -0.6295E+01
   251   0.7500E+01   0.4172E-11  -0.6321E+01
   252   0.7530E+01   0.3450E-11  -0.6346E+01
   253   0.7560E+01   0.2851E-11  -0.6371E+01
   254   0.7590E+01   0.2354E-11  -0.6396E+01
   255   0.7620E+01   0.1942E-11  -0.6422E+01
   256   0.7650E+01   0.1601E-11  -0.6447E+01
   257   0.7680E+01   0.1319E-11  -0.6472E+01
   258   0.7710E+01   0.1086E-11  -0.6498E+01
   259   0.7740E+01   0.8933E-12  -0.6523E+01
   260   0.7770E+01   0.7343E-12  -0.6548E+01
   261   0.7800E+01   0.6031E-12  -0.6573E+01
   262   0.7830E+01   0.4950E-12  -0.6599E+01
   263   0.7860E+01   0.4059E-12  -0.6624E+01
   264   0.7890E+01   0.3326E-12  -0.6649E+01
   265   0.7920E+01   0.2724E-12  -0.6675E+01
   266   0.7950E+01   0.2229E-12  -0.6700E+01
   267   0.7980E+01   0.1822E-12  -0.6725E+01
   268   0.8010E+01   0.1489E-12  -0.6750E+01
   269   0.8040E+01   0.1215E-12  -0.6776E+01
   270   0.8070E+01   0.9914E-13  -0.6801E+01
   271   0.8100E+01   0.8081E-13  -0.6826E+01
   272   0.8130E+01   0.6582E-13  -0.6852E+01
   273   0.8160E+01   0.5357E-13  -0.6877E+01
   274   0.8190E+01   0.4357E-13  -0.6902E+01
   275   0.8220E+01   0.3541E-13  -0.6927E+01
   276   0.8250E+01   0.2875E-13  -0.6953E+01
   277   0.8280E+01   0.2333E-13  -0.6978E+01
   278   0.8310E+01   0.1892E-13  -0.7003E+01
   279   0.8340E+01   0.1533E-13  -0.7029E+01
   280   0.8370E+01   0.1241E-13  -0.7054E+01
   281   0.8400E+01   0.1004E-13  -0.7079E+01
   282   0.8430E+01   0.8114E-14  -0.7104E+01
   283   0.8460E+01   0.6554E-14  -0.7130E+01
   284   0.8490E+01   0.5290E-14  -0.7155E+01
   285   0.8520E+01   0.4266E-14  -0.7180E+01
   286   0.8550E+01   0.3438E-14  -0.7206E+01
   287   0.8580E+01   0.2769E-14  -0.7231E+01
   288   0.8610E+01   0.2228E-14  -0.7256E+01
   289   0.8640E+01   0.1791E-14  -0.7281E+01
   290   0.8670E+01   0.1439E-14  -0.7307E+01
   291   0.8700E+01   0.1156E-14  -0.7332E+01
   292   0.8730E+01   0.9271E-15  -0.7357E+01
   293   0.8760E+01   0.7432E-15  -0.7383E+01
   294   0.8790E+01   0.5953E-15  -0.7408E+01
   295   0.8820E+01   0.4765E-15  -0.7433E+01
   296   0.8850E+01   0.3811E-15  -0.7458E+01
   297   0.8880E+01   0.3046E-15  -0.7484E+01
   298   0.8910E+01   0.2433E-15  -0.7509E+01
   299   0.8940E+01   0.1941E-15  -0.7534E+01
   300   0.8970E+01   0.1548E-15  -0.7559E+01
   301   0.9000E+01   0.1233E-15  -0.7585E+01
   302   0.9030E+01   0.9820E-16  -0.7610E+01
   303   0.9060E+01   0.7812E-16  -0.7635E+01
   304   0.9090E+01   0.6211E-16  -0.7661E+01
   305   0.9120E+01   0.4934E-16  -0.7686E+01
   306   0.9150E+01   0.3916E-16  -0.7711E+01
   307   0.9180E+01   0.3106E-16  -0.7736E+01
   308   0.9210E+01   0.2462E-16  -0.7762E+01
   309   0.9240E+01   0.1950E-16  -0.7787E+01
   310   0.9270E+01   0.1543E-16  -0.7812E+01
   311   0.9300E+01   0.1220E-16  -0.7838E+01
   312   0.9330E+01   0.9641E-17  -0.7863E+01
   313   0.9360E+01   0.7612E-17  -0.7888E+01
   314   0.9390E+01   0.6006E-17  -0.7913E+01
   315   0.9420E+01   0.4735E-17  -0.7939E+01
   316   0.9450E+01   0.3730E-17  -0.7964E+01
   317   0.9480E+01   0.2936E-17  -0.7989E+01
   318   0.9510E+01   0.2310E-17  -0.8015E+01
   319   0.9540E+01   0.1815E-17  -0.8040E+01
   320   0.9570E+01   0.1426E-17  -0.8065E+01
