#   pt       r            w            d(ln(w))/dr
   162   0.4830E+01   0.2959E-05  -0.2817E+01
   163   0.4860E+01   0.2719E-05  -0.2835E+01
   164   0.4890E+01   0.2496E-05  -0.2852E+01
   165   0.4920E+01   0.2291E-05  -0.2870E+01
   166   0.4950E+01   0.2101E-05  -0.2887E+01
   167   0.4980E+01   0.1927E-05  -0.2905E+01
   168   0.5010E+01   0.1765E-05  -0.2922E+01
   169   0.5040E+01   0.1617E-05  -0.2940E+01
   170   0.5070E+01   0.1480E-05  -0.2957E+01
   171   0.5100E+01   0.1354E-05  -0.2975E+01
   172   0.5130E+01   0.1238E-05  -0.2992E+01
   173   0.5160E+01   0.1131E-05  -0.3010E+01
   174   0.5190E+01   0.1033E-05  -0.3027E+01
   175   0.5220E+01   0.9434E-06  -0.3045E+01
   176   0.5250E+01   0.8608E-06  -0.3062E+01
   177   0.5280E+01   0.7851E-06  -0.3080E+01
   178   0.5310E+01   0.7156E-06  -0.3097E+01
   179   0.5340E+01   0.6519E-06  -0.3115E+01
   180   0.5370E+01   0.5936E-06  -0.3132E+01
   181   0.5400E+01   0.5402E-06  -0.3150E+01
   182   0.5430E+01   0.4914E-06  -0.3167E+01
   183   0.5460E+01   0.4467E-06  -0.3185E+01
   184   0.5490E+01   0.4059E-06  -0.3202E+01
   185   0.5520E+01   0.3686E-06  -0.3220E+01
   186   0.5550E+01   0.3346E-06  -0.3237E+01
   187   0.5580E+01   0.3035E-06  -0.3255E+01
   188   0.5610E+01   0.2752E-06  -0.3272E+01
   189   0.5640E+01   0.2494E-06  -0.3290E+01
   190   0.5670E+01   0.2259E-06  -0.3307E+01
   191   0.5700E+01   0.2045E-06  -0.3325E+01
   192   0.5730E+01   0.1851E-06  -0.3342E+01
   193   0.5760E+01   0.1674E-06  -0.3360E+01
   194   0.5790E+01   0.1513E-06  -0.3377E+01
   195   0.5820E+01   0.1367E-06  -0.3395E+01
   196   0.5850E+01   0.1234E-06  -0.3412E+01
   197   0.5880E+01   0.1114E-06  -0.3430E+01
   198   0.5910E+01   0.1004E-06  -0.3447E+01
   199   0.5940E+01   0.9055E-07  -0.3465E+01
   200   0.5970E+01   0.8159E-07  -0.3482E+01
   201   0.6000E+01   0.7348E-07  -0.3500E+01
   202   0.6030E+01   0.6614E-07  -0.3517E+01
   203   0.6060E+01   0.5950E-07  -0.3535E+01
   204   0.6090E+01   0.5350E-07  -0.3552E+01
   205   0.6120E+01   0.4808E-07  -0.3570E+01
   206   0.6150E+01   0.4318E-07  -0.3587E+01
   207   0.6180E+01   0.3877E-07  -0.3605E+01
   208   0.6210E+01   0.3478E-07  -0.3622E+01
   209   0.6240E+01   0.3119E-07  -0.3640E+01
   210   0.6270E+01   0.2796E-07  -0.3657E+01
   211   0.6300E+01   0.2505E-07  -0.3675E+01
   212   0.6330E+01   0.2243E-07  -0.3692E+01
   213   0.6360E+01   0.2007E-07  -0.3710E+01
   214   0.6390E+01   0.1795E-07  -0.3727E+01
   215   0.6420E+01   0.1605E-07  -0.3745E+01
   216   0.6450E+01   0.1434E-07  -0.3762E+01
   217   0.6480E+01   0.1280E-07  -0.3780E+01
   218   0.6510E+01   0.1143E-07  -0.3797E+01
   219   0.6540E+01   0.1020E-07  -0.3815E+01
   220   0.6570E+01   0.9091E-08  -0.3832E+01
   221   0.6600E+01   0.8101E-08  -0.3850E+01
   222   0.6630E+01   0.7216E-08  -0.3867E+01
   223   0.6660E+01   0.6424E-08  -0.3885E+01
   224   0.6690E+01   0.5716E-08  -0.3902E+01
   225   0.6720E+01   0.5083E-08  -0.3920E+01
   226   0.6750E+01   0.4518E-08  -0.3937E+01
   227   0.6780E+01   0.4013E-08  -0.3955E+01
   228   0.6810E+01   0.3563E-08  -0.3972E+01
   229   0.6840E+01   0.3162E-08  -0.3990E+01
   230   0.6870E+01   0.2805E-08  -0.4007E+01
   231   0.6900E+01   0.2486E-08  -0.4025E+01
   232   0.6930E+01   0.2203E-08  -0.4042E+01
   233   0.6960E+01   0.1951E-08  -0.4060E+01
   234   0.6990E+01   0.1727E-08  -0.4077E+01
