#   pt       r            w            wL          Qw            A            b           IP
   119   0.2360E+01   0.6972E-03   0.7533E-03   0.3585E-01   0.1851E+00   0.2365E+01   0.6993E+00
   120   0.2380E+01   0.6652E-03   0.7103E-03   0.3489E-01   0.1686E+00   0.2326E+01   0.6762E+00
   121   0.2400E+01   0.6352E-03   0.6698E-03   0.3396E-01   0.1539E+00   0.2288E+01   0.6541E+00
   122   0.2420E+01   0.6070E-03   0.6316E-03   0.3305E-01   0.1407E+00   0.2250E+01   0.6331E+00
   123   0.2440E+01   0.5805E-03   0.5956E-03   0.3217E-01   0.1290E+00   0.2215E+01   0.6131E+00
   124   0.2460E+01   0.5556E-03   0.5617E-03   0.3132E-01   0.1186E+00   0.2180E+01   0.5942E+00
   125   0.2480E+01   0.5320E-03   0.5297E-03   0.3048E-01   0.1094E+00   0.2147E+01   0.5765E+00
   126   0.2500E+01   0.5098E-03   0.4995E-03   0.2967E-01   0.1012E+00   0.2116E+01   0.5598E+00
   127   0.2520E+01   0.4889E-03   0.4710E-03   0.2888E-01   0.9394E-01   0.2087E+01   0.5443E+00
   128   0.2540E+01   0.4690E-03   0.4441E-03   0.2811E-01   0.8754E-01   0.2059E+01   0.5298E+00
   129   0.2560E+01   0.4502E-03   0.4188E-03   0.2736E-01   0.8189E-01   0.2033E+01   0.5164E+00
   130   0.2580E+01   0.4324E-03   0.3949E-03   0.2663E-01   0.7690E-01   0.2008E+01   0.5041E+00
   131   0.2600E+01   0.4155E-03   0.3724E-03   0.2591E-01   0.7251E-01   0.1985E+01   0.4927E+00
   132   0.2620E+01   0.3994E-03   0.3512E-03   0.2521E-01   0.6865E-01   0.1964E+01   0.4824E+00
   133   0.2640E+01   0.3841E-03   0.3312E-03   0.2453E-01   0.6526E-01   0.1945E+01   0.4730E+00
   134   0.2660E+01   0.3695E-03   0.3123E-03   0.2387E-01   0.6229E-01   0.1928E+01   0.4645E+00
   135   0.2680E+01   0.3555E-03   0.2945E-03   0.2322E-01   0.5970E-01   0.1912E+01   0.4568E+00
   136   0.2700E+01   0.3423E-03   0.2777E-03   0.2258E-01   0.5745E-01   0.1897E+01   0.4500E+00
   137   0.2720E+01   0.3296E-03   0.2619E-03   0.2196E-01   0.5550E-01   0.1885E+01   0.4440E+00
   138   0.2740E+01   0.3174E-03   0.2469E-03   0.2136E-01   0.5382E-01   0.1873E+01   0.4387E+00
   139   0.2760E+01   0.3058E-03   0.2329E-03   0.2077E-01   0.5240E-01   0.1864E+01   0.4342E+00
   140   0.2780E+01   0.2946E-03   0.2196E-03   0.2019E-01   0.5120E-01   0.1855E+01   0.4303E+00
   141   0.2800E+01   0.2839E-03   0.2071E-03   0.1962E-01   0.5020E-01   0.1848E+01   0.4270E+00
   142   0.2820E+01   0.2736E-03   0.1953E-03   0.1907E-01   0.4940E-01   0.1843E+01   0.4244E+00
   143   0.2840E+01   0.2637E-03   0.1841E-03   0.1853E-01   0.4877E-01   0.1838E+01   0.4223E+00
   144   0.2860E+01   0.2542E-03   0.1736E-03   0.1800E-01   0.4830E-01   0.1835E+01   0.4207E+00
   145   0.2880E+01   0.2451E-03   0.1637E-03   0.1748E-01   0.4799E-01   0.1832E+01   0.4197E+00
   146   0.2900E+01   0.2362E-03   0.1544E-03   0.1698E-01   0.4782E-01   0.1831E+01   0.4191E+00
   147   0.2920E+01   0.2277E-03   0.1456E-03   0.1648E-01   0.4778E-01   0.1831E+01   0.4190E+00
   148   0.2940E+01   0.2196E-03   0.1373E-03   0.1600E-01   0.4787E-01   0.1831E+01   0.4193E+00
   149   0.2960E+01   0.2117E-03   0.1295E-03   0.1553E-01   0.4808E-01   0.1833E+01   0.4200E+00
