#   pt       r            w            wL          Qw            A            b           IP
    76   0.1500E+01   0.1126E+00   0.1130E+00   0.1888E+01   0.6040E+01   0.2655E+01   0.8810E+00
    77   0.1520E+01   0.1068E+00   0.1070E+00   0.1825E+01   0.6120E+01   0.2664E+01   0.8868E+00
    78   0.1540E+01   0.1012E+00   0.1014E+00   0.1764E+01   0.6199E+01   0.2672E+01   0.8924E+00
    79   0.1560E+01   0.9595E-01   0.9598E-01   0.1705E+01   0.6277E+01   0.2680E+01   0.8978E+00
    80   0.1580E+01   0.9093E-01   0.9089E-01   0.1647E+01   0.6352E+01   0.2688E+01   0.9029E+00
    81   0.1600E+01   0.8617E-01   0.8607E-01   0.1591E+01   0.6425E+01   0.2695E+01   0.9077E+00
    82   0.1620E+01   0.8164E-01   0.8151E-01   0.1536E+01   0.6495E+01   0.2701E+01   0.9123E+00
    83   0.1640E+01   0.7734E-01   0.7719E-01   0.1483E+01   0.6562E+01   0.2708E+01   0.9165E+00
    84   0.1660E+01   0.7326E-01   0.7310E-01   0.1431E+01   0.6625E+01   0.2714E+01   0.9204E+00
    85   0.1680E+01   0.6939E-01   0.6922E-01   0.1381E+01   0.6684E+01   0.2719E+01   0.9241E+00
    86   0.1700E+01   0.6571E-01   0.6555E-01   0.1333E+01   0.6739E+01   0.2724E+01   0.9274E+00
    87   0.1720E+01   0.6223E-01   0.6208E-01   0.1286E+01   0.6789E+01   0.2728E+01   0.9303E+00
    88   0.1740E+01   0.5892E-01   0.5878E-01   0.1240E+01   0.6835E+01   0.2732E+01   0.9330E+00
    89   0.1760E+01   0.5578E-01   0.5567E-01   0.1196E+01   0.6875E+01   0.2735E+01   0.9353E+00
    90   0.1780E+01   0.5281E-01   0.5272E-01   0.1154E+01   0.6910E+01   0.2738E+01   0.9372E+00
    91   0.1800E+01   0.5000E-01   0.4992E-01   0.1112E+01   0.6940E+01   0.2741E+01   0.9388E+00
    92   0.1820E+01   0.4733E-01   0.4727E-01   0.1072E+01   0.6963E+01   0.2742E+01   0.9401E+00
    93   0.1840E+01   0.4480E-01   0.4477E-01   0.1033E+01   0.6981E+01   0.2744E+01   0.9411E+00
    94   0.1860E+01   0.4241E-01   0.4239E-01   0.9958E+00   0.6993E+01   0.2745E+01   0.9417E+00
    95   0.1880E+01   0.4014E-01   0.4015E-01   0.9596E+00   0.6999E+01   0.2745E+01   0.9420E+00
    96   0.1900E+01   0.3800E-01   0.3802E-01   0.9245E+00   0.6999E+01   0.2745E+01   0.9421E+00
    97   0.1920E+01   0.3597E-01   0.3600E-01   0.8906E+00   0.6994E+01   0.2745E+01   0.9418E+00
    98   0.1940E+01   0.3405E-01   0.3409E-01   0.8578E+00   0.6983E+01   0.2744E+01   0.9412E+00
    99   0.1960E+01   0.3223E-01   0.3228E-01   0.8262E+00   0.6966E+01   0.2743E+01   0.9404E+00
   100   0.1980E+01   0.3051E-01   0.3057E-01   0.7956E+00   0.6945E+01   0.2741E+01   0.9393E+00
   101   0.2000E+01   0.2888E-01   0.2895E-01   0.7660E+00   0.6918E+01   0.2739E+01   0.9380E+00
   102   0.2020E+01   0.2734E-01   0.2742E-01   0.7375E+00   0.6886E+01   0.2737E+01   0.9364E+00
   103   0.2040E+01   0.2589E-01   0.2596E-01   0.7100E+00   0.6850E+01   0.2734E+01   0.9346E+00
   104   0.2060E+01   0.2451E-01   0.2459E-01   0.6833E+00   0.6810E+01   0.2732E+01   0.9327E+00
   105   0.2080E+01   0.2321E-01   0.2328E-01   0.6577E+00   0.6767E+01   0.2728E+01   0.9306E+00
   106   0.2100E+01   0.2198E-01   0.2205E-01   0.6329E+00   0.6720E+01   0.2725E+01   0.9283E+00
